RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30
394444,551,"Carson City, NV",msa,NV,306779.0,300951.0,305209.0,308824.0,320994.0,323113.0,319946.0,316367.0,321031.0,332263.0,334655.0,333838.0,326520.0,325991.0,320679.0,326441.0,328483.0,333901.0,335540.0,338780.0,331147.0,333332.0,324828.0,334422.0,335383.0,353216.0,364761.0,367011.0,367133.0,369010.0,381770.0,379752.0,381334.0,380923.0,389148.0,399019.0,413813.0,423398.0,433990.0,436437.0,446731.0,446109.0,458895.0,464701.0,469868.0,463826.0,458774.0,456748.0,449001.0,452237.0,440607.0,447291.0,426603.0,444529.0,427819.0,434472.0,428357.0
394432,553,"Calhoun, GA",msa,GA,134864.0,136107.0,143933.0,141627.0,140511.0,138743.0,140516.0,146280.0,151249.0,154401.0,155866.0,154525.0,156458.0,154460.0,153616.0,153469.0,157875.0,161731.0,152508.0,147678.0,148009.0,159380.0,166005.0,170215.0,169925.0,170747.0,171216.0,175874.0,177770.0,177537.0,179896.0,183866.0,185986.0,189775.0,194618.0,209859.0,212647.0,213531.0,202945.0,202444.0,201866.0,207083.0,209787.0,220778.0,228457.0,237125.0,232726.0,227805.0,231074.0,240435.0,243043.0,239776.0,233398.0,230397.0,226495.0,227359.0,245302.0
753877,554,"Cullowhee, NC",msa,NC,237182.0,239149.0,250073.0,268548.0,269298.0,254113.0,227064.0,223893.0,223439.0,236262.0,235390.0,235561.0,231013.0,237504.0,237157.0,258395.0,265894.0,278389.0,272896.0,263636.0,255715.0,240057.0,259152.0,272141.0,311332.0,327336.0,355164.0,318722.0,315747.0,303035.0,327477.0,323904.0,336140.0,337813.0,351997.0,344354.0,341286.0,316513.0,311233.0,305215.0,315159.0,323846.0,336129.0,360196.0,376763.0,381371.0,388381.0,371400.0,368972.0,346109.0,362202.0,362679.0,366612.0,376584.0,382652.0,377054.0,346860.0
394940,557,"Ontario, OR",msa,OR,165539.0,165322.0,168262.0,168415.0,173997.0,165949.0,171158.0,172639.0,185343.0,186692.0,185518.0,184701.0,187442.0,186811.0,190425.0,186489.0,193669.0,189673.0,202029.0,213404.0,231214.0,224593.0,215449.0,205977.0,210454.0,227844.0,255670.0,265279.0,258441.0,247744.0,250217.0,253216.0,249016.0,255238.0,267439.0,289410.0,283816.0,281462.0,280246.0,284999.0,290928.0,293740.0,308868.0,313068.0,324738.0,325760.0,321790.0,312596.0,305631.0,307402.0,299230.0,280688.0,264015.0,270614.0,272809.0,287690.0,304495.0
394621,558,"Gaffney, SC",msa,SC,107107.0,91742.0,103048.0,103647.0,129628.0,126627.0,141775.0,138244.0,124607.0,106328.0,101667.0,118008.0,129298.0,142565.0,133989.0,137761.0,127612.0,135141.0,139724.0,140358.0,136700.0,134825.0,140094.0,143240.0,148018.0,146698.0,155620.0,152625.0,144423.0,128728.0,136922.0,147095.0,155540.0,133814.0,136909.0,130755.0,143059.0,153311.0,165251.0,165444.0,166177.0,165168.0,164620.0,168926.0,178268.0,195247.0,182839.0,175670.0,163821.0,166029.0,155050.0,161632.0,160442.0,172833.0,155741.0,153532.0,153283.0
395131,560,"Sterling, IL",msa,IL,93421.0,90278.0,79304.0,69656.0,72904.0,73822.0,82868.0,76294.0,85840.0,90169.0,95579.0,96514.0,92344.0,93331.0,89054.0,93069.0,91937.0,95990.0,92414.0,97629.0,93740.0,97293.0,92556.0,92005.0,88304.0,94768.0,98696.0,97498.0,95980.0,99938.0,101223.0,99904.0,96445.0,94534.0,96020.0,93230.0,97832.0,97204.0,106130.0,113763.0,109516.0,115390.0,106589.0,115791.0,111071.0,117902.0,120232.0,114296.0,108005.0,108950.0,114356.0,117262.0,113302.0,107124.0,102509.0,101305.0,102765.0
394411,561,"Branson, MO",msa,MO,144271.0,144385.0,144317.0,144817.0,146482.0,154331.0,159246.0,157942.0,153129.0,150530.0,155180.0,159060.0,155260.0,152621.0,151856.0,161724.0,161384.0,154926.0,155506.0,156797.0,166230.0,168842.0,168499.0,172059.0,170476.0,180936.0,186178.0,190589.0,185158.0,177163.0,181671.0,193837.0,203700.0,209216.0,213278.0,214935.0,207730.0,209374.0,213909.0,229053.0,227750.0,237775.0,240072.0,255842.0,256339.0,256612.0,252744.0,255448.0,258042.0,255898.0,251468.0,252681.0,251918.0,247831.0,247374.0,248664.0,254387.0
394721,565,"Jasper, IN",msa,IN,,,,,,,135124.0,147056.0,136430.0,153244.0,148544.0,152321.0,150895.0,158538.0,166539.0,180602.0,177480.0,173814.0,158067.0,170120.0,163090.0,174047.0,162294.0,172937.0,170195.0,172686.0,172828.0,180763.0,186818.0,187349.0,176502.0,168325.0,169713.0,170329.0,169100.0,158095.0,153887.0,156478.0,165482.0,166879.0,164916.0,159599.0,165437.0,162030.0,166953.0,172302.0,179729.0,181375.0,174398.0,172569.0,169224.0,173303.0,179578.0,175076.0,175732.0,174240.0,186006.0
394556,566,"Edwards, CO",msa,CO,610389.0,628653.0,649083.0,641236.0,632099.0,601981.0,574044.0,572919.0,635559.0,651127.0,668426.0,659921.0,688880.0,685391.0,654753.0,627503.0,653967.0,664118.0,678192.0,657564.0,647673.0,719313.0,709873.0,747701.0,729711.0,831420.0,867986.0,887308.0,845785.0,840115.0,919329.0,854869.0,837519.0,714509.0,756202.0,773721.0,798928.0,759358.0,781154.0,799304.0,839940.0,805320.0,821874.0,876479.0,901364.0,957299.0,957764.0,984197.0,934097.0,900182.0,909674.0,948559.0,923919.0,888527.0,878611.0,948331.0,1040652.0
394547,567,"Durango, CO",msa,CO,388982.0,400034.0,399154.0,413302.0,413853.0,402564.0,379661.0,368472.0,370774.0,375516.0,372675.0,383942.0,390432.0,404601.0,406059.0,389945.0,395450.0,395933.0,401407.0,406602.0,413826.0,409178.0,398629.0,395018.0,413085.0,425224.0,436977.0,450624.0,452397.0,474204.0,458251.0,460524.0,436660.0,444074.0,465048.0,476274.0,482313.0,477907.0,482281.0,517618.0,515457.0,517629.0,509119.0,500412.0,513943.0,524775.0,542316.0,537002.0,534630.0,542035.0,556417.0,548872.0,551318.0,527813.0,501060.0,504902.0,560340.0
394750,568,"Kinston, NC",msa,NC,95987.0,96609.0,93150.0,92323.0,94919.0,104783.0,111404.0,110229.0,111265.0,102020.0,97044.0,97777.0,103582.0,105795.0,97603.0,96035.0,96006.0,108364.0,117012.0,104032.0,105502.0,95335.0,113850.0,99941.0,107006.0,106726.0,116475.0,113099.0,116272.0,124729.0,132446.0,131785.0,134565.0,135902.0,134999.0,122573.0,120803.0,128347.0,137804.0,135130.0,138122.0,142512.0,147917.0,151393.0,150724.0,153724.0,160016.0,160091.0,157486.0,141083.0,145352.0,151897.0,143694.0,137791.0,132366.0,146114.0,133011.0
753920,569,"Sonora, CA",msa,CA,300352.0,293578.0,292449.0,280471.0,274115.0,270939.0,267784.0,280108.0,277598.0,284869.0,281630.0,279369.0,276192.0,286313.0,292741.0,286277.0,276831.0,278555.0,288741.0,286793.0,284505.0,280773.0,280454.0,285097.0,289074.0,301196.0,313718.0,328461.0,330201.0,332900.0,343390.0,358488.0,371466.0,382559.0,396841.0,401599.0,401828.0,396427.0,397338.0,403904.0,410821.0,413682.0,418988.0,430905.0,438148.0,440684.0,433533.0,435775.0,427850.0,419576.0,402920.0,396205.0,408011.0,412852.0,406722.0,391901.0,393171.0
395157,570,"Tiffin, OH",msa,OH,,,,,,,,,,,,,,,,,,,,85798.0,87024.0,91970.0,91216.0,89722.0,87145.0,89500.0,99576.0,107709.0,119020.0,108329.0,114961.0,115520.0,116994.0,119846.0,118664.0,134597.0,128103.0,125925.0,127579.0,117645.0,124404.0,126036.0,139894.0,142011.0,132404.0,134266.0,135719.0,143986.0,144282.0,141061.0,140040.0,135871.0,131787.0,127677.0,130427.0,130027.0,133082.0
394366,571,"Batesville, AR",msa,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147608.0,129287.0,119071.0,112574.0,116406.0,118102.0,121824.0,122409.0,126986.0,126196.0,130040.0,127522.0,136854.0,128885.0,138451.0,140393.0,143887.0,138190.0,127801.0,123871.0,137436.0,145291.0,150792.0,138512.0,131790.0,139970.0
394566,573,"Elko, NV",msa,NV,235791.0,239929.0,239312.0,241116.0,242493.0,252529.0,258256.0,252601.0,251290.0,251612.0,251355.0,244338.0,245384.0,253139.0,259694.0,257775.0,256755.0,260253.0,262028.0,262270.0,259137.0,259094.0,256921.0,255049.0,255477.0,259347.0,271193.0,277213.0,277043.0,269145.0,268932.0,272707.0,280706.0,282243.0,286880.0,290922.0,290584.0,293705.0,306127.0,321908.0,323987.0,310713.0,313817.0,319825.0,324470.0,325771.0,328276.0,334643.0,323896.0,323638.0,324578.0,315332.0,307756.0,314443.0,304467.0,305926.0,290937.0
394517,574,"Danville, KY",msa,KY,129041.0,124005.0,123499.0,125926.0,128274.0,122978.0,122303.0,123288.0,127046.0,119811.0,124822.0,122950.0,125679.0,118305.0,128848.0,133330.0,134862.0,129948.0,134342.0,134490.0,142991.0,137210.0,137691.0,131543.0,136445.0,143149.0,148266.0,146017.0,149961.0,154517.0,158720.0,156206.0,150051.0,154348.0,157508.0,166002.0,171472.0,175182.0,180126.0,181339.0,181491.0,181167.0,185601.0,182288.0,180622.0,177470.0,194531.0,199315.0,209388.0,198947.0,193175.0,186217.0,185717.0,194701.0,193988.0,191156.0,188589.0
395122,576,"St. Marys, GA",msa,GA,168821.0,164949.0,158953.0,156500.0,164791.0,164725.0,167366.0,168397.0,176424.0,175552.0,169867.0,173212.0,170901.0,174237.0,174067.0,179924.0,181624.0,180176.0,177365.0,174983.0,174925.0,179630.0,182233.0,191456.0,194080.0,197863.0,203814.0,204250.0,208530.0,203710.0,213208.0,214991.0,215336.0,210159.0,209280.0,215112.0,218928.0,223948.0,228200.0,231412.0,235813.0,242250.0,242968.0,243891.0,240198.0,243414.0,253077.0,256520.0,263804.0,263487.0,263639.0,266118.0,261241.0,268531.0,269211.0,273556.0,272414.0
394402,577,"Boone, NC",msa,NC,259249.0,259836.0,250602.0,248669.0,239297.0,228901.0,235464.0,250597.0,265981.0,260167.0,265988.0,273805.0,269444.0,267508.0,269350.0,277507.0,278889.0,283081.0,294511.0,286690.0,282172.0,273079.0,286301.0,290935.0,315799.0,332225.0,335627.0,330321.0,331429.0,342959.0,359066.0,355580.0,361912.0,351384.0,347586.0,348568.0,341835.0,353714.0,354008.0,368332.0,356710.0,353718.0,354562.0,375244.0,396823.0,414892.0,431785.0,424041.0,409484.0,403061.0,403013.0,423064.0,414250.0,420111.0,401259.0,398046.0,407182.0
