RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
394807,46,"Louisville, KY",msa,KY,44.0,38.0,37.0,39.0,42.0,41.0,40.0,41.0,42.0,40.0,40.0,40.0,42.0,38.0,38.0,38.0,42.0,42.0,41.0,42.0,44.0,43.0,43.0,44.0,42.0,41.0,41.0,43.0,44.0,46.0,45.0,46.0,45.0,46.0,45.0,47.0,35.0,36.0,41.0,41.0,41.0,43.0,42.0,41.0,41.0,42.0,41.0,40.0,43.0,39.0,37.0,36.0,38.0,38.0,38.0,36.0,36.0,37.0,36.0,37.0,37.0,33.0,36.0
394910,47,"New Orleans, LA",msa,LA,43.0,40.0,39.0,39.0,39.0,41.0,39.0,39.0,41.0,41.0,39.0,40.0,40.0,39.0,38.0,39.0,40.0,41.0,41.0,42.0,41.0,41.0,40.0,41.0,41.0,40.0,40.0,42.0,43.0,42.0,42.0,44.0,44.0,45.0,47.0,44.0,46.0,41.0,42.0,43.0,42.0,43.0,42.0,41.0,50.0,48.0,42.0,40.0,40.0,39.0,40.0,38.0,38.0,38.0,39.0,38.0,37.0,37.0,37.0,36.0,39.0,36.0,36.0
395053,48,"Salt Lake City, UT",msa,UT,33.0,31.0,26.0,28.0,27.0,28.0,30.0,29.0,28.0,30.0,29.0,29.0,32.0,29.0,29.0,28.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,33.0,29.0,28.0,29.0,30.0,33.0,34.0,33.0,33.0,31.0,31.0,33.0,,,26.0,27.0,26.0,28.0,27.0,27.0,27.0,27.0,28.0,28.0,31.0,26.0,24.0,24.0,24.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,28.0,26.0,26.0
394669,49,"Hartford, CT",msa,CT,15.0,33.0,44.0,45.0,48.0,50.0,51.0,49.0,49.0,50.0,48.0,47.0,50.0,47.0,47.0,47.0,48.0,49.0,50.0,48.0,49.0,47.0,47.0,48.0,51.0,48.0,46.0,48.0,53.0,51.0,49.0,50.0,49.0,49.0,50.0,50.0,44.0,44.0,45.0,48.0,48.0,51.0,49.0,49.0,48.0,46.0,46.0,46.0,50.0,46.0,45.0,43.0,45.0,45.0,46.0,45.0,45.0,45.0,47.0,47.0,49.0,43.0,41.0
394425,50,"Buffalo, NY",msa,NY,61.0,59.0,55.0,57.0,59.0,61.0,62.0,61.0,62.0,63.0,60.0,60.0,62.0,61.0,57.0,57.0,58.0,60.0,62.0,61.0,63.0,62.0,63.0,63.0,65.0,61.0,59.0,64.0,67.0,66.0,59.0,64.0,69.0,71.0,74.0,73.0,76.0,75.0,67.0,65.0,64.0,66.0,67.0,69.0,70.0,71.0,73.0,72.0,75.0,75.0,67.0,63.0,63.0,64.0,66.0,65.0,67.0,66.0,67.0,64.0,66.0,64.0,58.0
394388,51,"Birmingham, AL",msa,AL,42.0,38.0,37.0,38.0,40.0,42.0,41.0,38.0,41.0,40.0,38.0,39.0,41.0,40.0,37.0,39.0,40.0,41.0,40.0,39.0,39.0,39.0,41.0,40.0,42.0,38.0,37.0,40.0,42.0,41.0,42.0,42.0,42.0,42.0,43.0,45.0,40.0,39.0,40.0,44.0,43.0,43.0,40.0,38.0,39.0,38.0,41.0,38.0,40.0,33.0,31.0,35.0,37.0,37.0,33.0,34.0,34.0,33.0,33.0,33.0,34.0,31.0,31.0
395031,52,"Rochester, NY",msa,NY,52.0,49.0,45.0,46.0,48.0,51.0,51.0,49.0,49.0,49.0,47.0,49.0,50.0,49.0,46.0,46.0,48.0,50.0,50.0,50.0,51.0,51.0,49.0,49.0,54.0,48.0,45.0,51.0,57.0,53.0,51.0,53.0,56.0,56.0,57.0,58.0,59.0,58.0,55.0,54.0,54.0,56.0,58.0,58.0,57.0,59.0,57.0,59.0,61.0,57.0,52.0,51.0,51.0,53.0,54.0,54.0,53.0,53.0,52.0,51.0,54.0,49.0,46.0
394640,53,"Grand Rapids, MI",msa,MI,45.0,40.0,39.0,39.0,40.0,40.0,41.0,40.0,42.0,40.0,40.0,39.0,43.0,41.0,38.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,42.0,46.0,46.0,39.0,37.0,41.0,45.0,,,44.0,46.0,47.0,47.0,48.0,49.0,43.0,39.0,38.0,39.0,39.0,40.0,39.0,41.0,40.0,40.0,42.0,43.0,36.0,35.0,35.0,34.0,36.0,37.0,37.0,38.0,37.0,36.0,38.0,38.0,35.0,33.0
395167,54,"Tucson, AZ",msa,AZ,38.0,35.0,36.0,35.0,36.0,38.0,37.0,36.0,36.0,36.0,36.0,35.0,37.0,35.0,34.0,33.0,39.0,38.0,38.0,37.0,38.0,37.0,37.0,37.0,38.0,35.0,37.0,40.0,38.0,40.0,40.0,39.0,40.0,39.0,39.0,40.0,34.0,34.0,36.0,38.0,36.0,36.0,38.0,36.0,37.0,35.0,36.0,35.0,37.0,34.0,34.0,33.0,34.0,33.0,33.0,32.0,32.0,32.0,30.0,31.0,33.0,31.0,33.0
753924,55,"Urban Honolulu, HI",msa,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,31.0,43.0,44.0,43.0,45.0,44.0,43.0,44.0,43.0,42.0,42.0,45.0,41.0,40.0,42.0,41.0,41.0,40.0,39.0,39.0,39.0,42.0,39.0,40.0,30.0,35.0
